0, 0 1 2 3 4 5 6 7 8 9 10 11;
1, 0 0 2 2 4 4 6 6 8 8 10 10;
2, 0 0 3 3 5 5 6 6 7 7 10 10;
3, 0 0 2 2 2 4 4 4 7 7 9 9;
4, 0 2 2 4 4 5 5 7 7 9 9 11;
5, 0 2 2 3 3 5 5 7 7 8 8 10;
6, 0 0 2 2 4 4 5 5 7 7 9 11;
7, 0 0 2 2 3 3 5 5 7 7 8 10;
8, 0 0 1 1 3 3 5 5 7 7 8 10;
9, 0 0 2 2 4 4 6 6 7 7 9 11;
10, 0 0 2 2 4 4 5 5 7 7 9 10;
11, 0 0 2 2 3 3 5 5 7 7 8 10;
12, 0 0 1 1 3 3 5 5 6 6 8 10;
13, 0 0 2 2 4 4 6 6 7 7 9 9;
14, 0 0 0 3 3 3 6 6 6 9 9 9;
15, 0 0 0 0 4 4 4 4 8 8 8 8;
16, 0 0 0 0 0 0 6 6 6 6 6 6;
